"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"10x48",0,0,0.658338272816337,0,0.0351464858790513,0,0,0,0,0,0.0225548213803128,0,0,0,0,0.26104882251666,0.0225225611715969
"10x50",0,0,0.757213782964487,0,0,0,0,0,0,0,0,0,0,0,0.0421119358445034,0.200296734409112,0
"10x52",0,0.00577017696302296,0.739884778039363,0.0208100088500631,0,0,0.00415664975051918,0,0,0,0.0107010343800423,0,0,0,0,0.209545934812237,0.00889698950899586
"10x54",0,0,0.7363550615129,0,0.0032176812497218,0,0,0,0,0,0,0,0,0.0125669858893753,0.00777580001417688,0.231714038123084,0.00789554013184513
"10x56",0,0,0.671535383349191,0,0,0,0,0.0170750278566814,0,0,0,0.0324542109357743,0,0,0.0196592443445733,0.245316683330376,0.0134782140155732
"11x47",0,0,0.575173776791035,0.00325310068247219,0,0.026450475299544,0,0.00247494867141897,0,0,0,0,0,0,0.00409327151537149,0.36318777509511,0.0250359412268649
"11x49",0,0,0.678150808252428,0.0888156659073922,0,0,0,0,0,0,0,0,0,0,0.0114918343598452,0.193985104106833,0.0271888667381044
"11x51",0,0,0.731808521350665,0.00752714735277429,0.0286584826402978,0,0,0,0,0,0,0,0,0,0.00443411244008833,0.203258167603323,0.0240550649911551
"11x53",0,0,0.676560090812367,0,0,0,0.0253615156754392,0,0,0,0,0,0,0,0.018680563997901,0.25874258459171,0.0201452200344518
"11x55",0,0.00522260926529409,0.71185171658262,0,0.00948009191458929,0,0,0,0,0,0,0,0,0,0,0.264862648771109,0.00805531094154686
"11x57",0,0,0.731786194025224,0,0,0,0,0,0,0,0,0,0.0234541189222203,0,0,0.230399640933163,0.0136784099240555
"12x44",0,0,0.662539933006066,0,0,0,0.0495829266878215,0,0,0,0,0,0,0,0.0335141035163949,0.253993260818461,0
"12x46",0,0,0.687707921660763,0.0219502393859383,0,0,0.00177128435742638,0,0,0,0,0,0.0122810089890016,0,0.0224341459623023,0.238379901497429,0.0152187884519695
"12x48",0,0,0.604795763861596,0,0,0,0,0,0,0.0293965436742228,0,0,0,0,0.00913510170653998,0.338616790875635,0.0174478681223785
"12x50",0,0,0.705194715242813,0,0.0332423694151302,0,0,0.0332226689708246,0,0,0,0,0,0,0.0460587622518298,0.181906121190381,0
"12x52",0,0,0.652193471728537,0,0,0,0,0,0,0,0,0,0,0,0,0.327290491455396,0.0200414331026186
"12x54",0,0,0.759077709385928,0,0.0238795612466911,0,0,0,0,0,0,0,0,0,0.0149017250297176,0.197554349005454,0.00414017994462971
"12x56",0,0,0.679768701259479,0,0,0,0,0,0,0,0,0,0,0,0,0.306614302694099,0.0129113801275209
"12x58",0,0,0.671476914048448,0,0,0,0,0,0,0.0106387770110328,0,0,0,0,0.0118216627268275,0.289070606614902,0.0167002506567321
"13x45",0,0,0.778171539886378,0.00270673066869499,0,0,0.0105207096012487,0,0.00869614646449914,0.0144539947793682,0,0,0,0,0.0136211913815016,0.162444505046899,0.00907522770226248
"13x47",0,0,0.725692031983871,0,0,0,0.0206130827444521,0,0,0,0,0,0,0,0.0026908975378201,0.232869915609335,0.0174684632605866
