"","Interneuron","Microglia","Macrophage","Ependymal","Choroid_plexus","Neurogenesis","Cajal_Retzius","Endothelial_stalk","Mural","Endothelial_tip","Neuron","Entorhinal.cortex","Deep.layer.subiculum","Entorhinal.cortex..IEG.","Dentate.principal","CA1.principle.anterior","CA1.principal","Anterior.Subiculum..proximal.to.CA1","CA3","Lateral.CA3.principal","CA2","Dentate.hilum","Astrocyte","Oligodendrocyte","MyelinProcesses","Polydendrocyte","Layer.6","Layer.5","Medial.habenula","Medial.habenular..lateral.portion","Lateral.habenula","Lateral.Geniculate.Nucleus...LGN.","Lateral.dorsal.thalamic.nuclei..LD."
"merge_spot4057",0.0120351307838081,0.0102568696175178,0,0,0,0.00377039379932298,0,0,0,0,0,0,0,0,0.0105341699012776,0,0,0,0.090250035611515,0,0,0,0,0,0.12342946720899,0.00362484188940643,0.57574057683771,0.168874556944577,0,0,0,0,0
"merge_spot4058",0.0226392359553738,0,0,0.00170129111950403,0,0,0,0,0,0,0,0,0,0,0,0,0.0316781471534421,0,0,0,0,0,0,0,0.0250852197308779,0,0.868803234667471,0,0,0,0,0,0.0483413448719514
"merge_spot4059",0.301634562260027,0.0129130171335588,0,0,0,0.0103673297474549,0,0,0,0,0,0,0.0956410729223125,0,0,0,0,0,0,0,0,0,0.0398620371542032,0,0.0338594924588405,0,0.480384625490924,0,0.00700850618026908,0,0,0,0.0176702184690808
"merge_spot4060",0.0294209118556396,0,0.00937666965438054,0,0,0,0,0,0.00251480878522476,0,0.0908893059346229,0,0,0.00666980300916502,0,0,0.0583163242443733,0,0,0,0,0,0.0126613614165149,0.00126373731548146,0.00127537773913278,0.002604320867533,0.734431610764829,0.0469223747061507,0,0,0,0,0
"merge_spot4061",0.133759630087415,0.00587266442442099,0,0,0.00186039363451815,0.0303278740532133,0,0,0,0,0,0.123780002123246,0,0,0.0370745965386601,0,0,0,0.0237363249153217,0,0,0,0.0134427499752636,0,0.0213404754792574,0.00848306923558519,0.598850341194476,0,0,0,0,0,0
"merge_spot4062",0.0397337595372839,0.0119356555966174,0,0,0,0,0,0.00382360319591917,0.00102546036463762,0.00338974270740106,0.011263118134666,0,0,0.0726923214833383,0,0,0,0,0,0,0,0,0.0335801927547145,0,0.0302694528347262,0.00594471980180175,0.784629413268158,0,0,0,0,0,0
"merge_spot4063",0,0.0122983338302994,0,0,0,0,0,0,0,0.0024677535151718,0,0.11495657129106,0.055307374856845,0.0105435415770113,0,0,0.0314907421359994,0,0,0,0.012058960664946,0,0.0409892566685905,0,0.014387470460361,0.00303370700877177,0.701675326548226,0,0,0,0,0,0
"merge_spot4064",0.129403135969141,0.0119998584382762,0,0,0.00143664843467111,0,0,0,0,0,0,0.297493195276691,0,0.0211032153241774,0,0,0.0160150713968059,0,0,0,0,0,0.029642597813597,0,0.0364238308720425,0.00183353169459179,0.443085021041803,0,0,0,0,0,0.00965844764703646
"merge_spot4065",0,0.0238784743289168,0,0,0,0,0,0,0,0,0,0.214760734894292,0,0,0.00109642931904577,0,0,0,0,0,0,0,0.0273395904586345,0.426609156153185,0.130522899399907,0,0.170398148821054,0,0,0,0,0.00515002030495111,0
"merge_spot4066",0.0558260264218523,0.0351810934723657,0,0.00801684159105586,0,0.062476027784485,0,0,0,0,0,0.0985916961747196,0.264083446316125,0.106161914318067,0,0,0,0,0,0,0,0.0183534162734067,0.0166868239014347,0,0.0860117160353523,0,0.227272445488566,0,0.0128058952595502,0,0,0,0.00761675143954744
"merge_spot4067",0,0.0138394337632169,0,0,0,0.0198602320393457,0,0,0,0,0.0124629000103357,0.567969215838514,0,0.0370689866105359,0,0,0.059989641516989,0,0.0692838515078697,0,0,0,0.0570571326819737,0,0.0351592224899893,0,0.126281336445279,0,0,0,0,0,0
"merge_spot4068",0.0127707239244603,0.0162698352390467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452402895226641,0,0,0,0.00836116419696796,0,0.329638069285092,0,0.478089318100107,0.061166426343037,0.00556885227944232,0,0,0,0,0.0426161971593069,0
"merge_spot4069",0,0.00552112600027809,0.0454832375586729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181761986124834,0,0,0,0.0267819827745534,0,0.903909099728286,0,0,0,0,0,0,0,0
"merge_spot4071",0,0.00946355436958013,0,0.00403724208328811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00217344144402836,0,0,0,0,0.38079536497407,0.593103751506666,0,0.0102993377964308,0,0,0,0,0,0
"merge_spot4072",0,0.0361254359216183,0.0608976343604818,0,0,0.0942584894066041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820635001872359,0,0.726426185558169,0,0,0,0,0,0,0,0
"merge_spot4073",0,0.00884186895966383,0,0,0,0,0.0238027734562701,0,0.00770325614620977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92236287882258,0.0292172174627965,0,0,0.00319911709296822,0,0,0,0.0046684113321592
"merge_spot4074",0,0.00899365760292608,0.0414148457641421,0,0,0.0326590746825993,0,0.0110668990568629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600722798871864,0.218992816320254,0.60381036318443,0.00923071952309008,0,0,0.00159972477032562,0,0.0114563050544791,0,0
"merge_spot4077",0,0,0,0,0,0.0163103188045146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369094985868893,0.0498169202030414,0.517483839486491,0,0,0,0.00738564462147466,0.0107707367285823,0,0,0.0288829647863606
"merge_spot4079",0.320335434828585,0.0114422107716939,0.0143897821941919,0,0,0,0.0252986335075284,0,0,0.0116775133606891,0,0.050686640472086,0,0,0,0,0.022812959536788,0,0.0258221196493513,0,0,0,0.331909508609974,0,0.144956280776844,0,0,0,0,0,0,0.019852253701252,0.019286826303747
"merge_spot4080",0,0.0638797302761961,0.0119570189888389,0,0,0.00758511945215584,0,0.00665184431678007,0,0,0.0134738319644687,0,0.038598889551721,0,0.342610741741468,0,0.0685798116165885,0,0,0.0410520968551375,0.201763702741633,0,0.119276209490679,0,0.0419348587931721,0.0348253239760829,0,0,0,0,0,0,0.00690686414165095
"merge_spot4081",0.245819022538545,0.0196840004366735,0,0,0,0.0583490513937428,0,0,0,0.0456110930796707,0.0541316111515931,0,0,0,0.125030809641104,0,0,0,0,0,0.0248593408810207,0.133846296853972,0.121670954973429,0.0544965320717357,0.0982988200716597,0.00241335591599044,0,0,0,0,0.0148842987370213,0,0
"merge_spot4082",0,0.0244895479736919,0,0,0,0.127545739891929,0,0.00656810483092362,0.0253565969422342,0.0251613791001216,0,0,0,0,0.0172261466236165,0,0.255301553892098,0.189482106875829,0,0,0.00459395271076584,0,0.0866210538777076,0,0.108158830322161,0.0457320056471235,0,0,0,0,0,0,0.0828935602872933
"merge_spot4084",0.0725791212899591,0,0,0,0,0,0,0,0,0,0.096091168182334,0,0.0191012851949252,0,0,0,0.438082051001074,0,0.0544688762523448,0,0,0,0.23350616611008,0,0.04852228562653,0,0,0,0,0,0,0.0369383683107312,0
"merge_spot4085",0,0.0131249770131726,0,0,0,0.00217306808196007,0,0.00823147988311246,0,0,0,0,0,0,0,0,0.298252557157788,0,0,0.0180044591994103,0.0924953259038113,0.00320176057129994,0.491699474109876,0,0.0299125938389896,0.0131708675713732,0,0,0,0,0.0293919284634353,0,0
"merge_spot4086",0.0303287627118466,0,0.0222341051798421,0,0.00821188978509891,0,0,0,0.00786067120549627,0.00710279450333327,0,0,0,0.0320738170855969,0.169563929630018,0,0.297270855962559,0,0.00705875384242867,0,0,0,0.176670281694389,0,0.0670707494279311,0,0.0941836508748763,0.0438176515546376,0,0,0,0,0.035915912260848
"merge_spot4088",0,0.0192745664729232,0,0,0,0.119762589901163,0,0,0.0304359807087804,0,0.0137151036539351,0,0.123639798367682,0,0,0,0,0,0.246808256420684,0,0.0705622017710224,0,0,0.248078603259505,0.0869319899561371,0.0402939046488167,0,0,0,0,0,0,0
"merge_spot4089",0.164159119111156,0.0180091132822151,0.0453990929482188,0,0,0.0394401622302843,0,0,0,0.0258656648961949,0,0,0,0,0.13482316246093,0,0.236367664450943,0,0.0374535968730159,0,0.0733901980141983,0,0.106678912016517,0.0141331823108008,0.0597169723662435,0,0,0,0,0,0,0.043613571370809,0
"merge_spot4090",0.295626082244764,0,0.0222902495510315,0,0,0.118846703883035,0,0.0244148650364834,0,0.0131760737559176,0,0.137331937514372,0,0,0.120441318570526,0,0.146369034843159,0,0,0,0.035923743077024,0,0,0,0.0511731206657648,0,0,0,0,0,0.00824351967727021,0,0.0255010470968968
"merge_spot4091",0.140669697786318,0.0138098945220552,0,0,0,0.0765645142308031,0,0.0533149426915962,0,0,0,0,0.0871819661959384,0.00452940641692458,0,0,0.147711307919469,0.0796438859148548,0.0709941354376284,0.0552732868956216,0,0,0.147466549430448,0,0.0285943428725448,0,0,0,0,0,0.0772652428444918,0,0.0160246877211801
"merge_spot4092",0.0384612096221219,0.045464872447986,0.0315684883004014,0,0.00289048801873603,0.0351224392963669,0,0,0.0241656542887046,0,0.0768768296415191,0,0,0.0825506325838107,0.00413617626026682,0,0.0998865375007329,0,0.243309411087013,0.0364587787371878,0.170361626829127,0,0,0.0167924350469061,0,0,0.0159136996395871,0,0,0,0,0,0.0748560789761397
"merge_spot4093",0.148292629042569,0,0.0397355609971303,0.0106843355404467,0,0.0367753869996842,0.00230920344326077,0.0123597185489172,0.00308976817908255,0,0,0,0.225946045275133,0,0,0,0,0,0,0,0.349438796615781,0,0.112848673506716,0,0.00673814449663132,0.0295414774731927,0,0,0.0203185468630344,0,0,0,0
"merge_spot4094",0,0.0860952859183232,0.0269040363248719,0,0,0.21419914614695,0,0,0.00551800618792241,0,0,0.16724689732546,0,0,0,0,0.0790805206162659,0,0,0,0.386002624153736,0,0,0,0.0189481578561928,0,0,0.00645335826122498,0,0,0,0,0.00843703353385647
"merge_spot4095",0.0224527970503931,0.00889731738414238,0.0152624299821113,0,0,0,0,0.0062938215620575,0.0215367283565315,0,0,0,0,0.120914767582382,0,0.0710905303929047,0.0328971767877936,0,0.0321330513553982,0,0.322166479820519,0,0.204957001494438,0,0.0215989882724336,0.0280582456714324,0.0574227912150675,0,0.0012380060740474,0,0,0,0.0312170737013681
"merge_spot4096",0.0293528179643826,0.00435020125715457,0,0.00278346942011421,0.00426723460984445,0.0163360155891214,0.0109333409576289,0,0,0,0,0.00203122952807959,0,0.0358532078427405,0.0859009285875882,0,0,0,0,0.526669081584867,0.203492612936096,0,0.0321633668757795,0,0.0143613344410207,0.0256620874174563,0,0,0.00497579062069669,0,0,0,0
"merge_spot4097",0,0.0150369632576735,0,0.00303197553094424,0,0.0179041886737607,0.0119950579915402,0,0,0,0,0,0,0,0.0310093333278877,0,0.103454888027074,0,0.388047905851424,0.40164971914887,0.0048043605068741,0,0.00342989647608991,0,0.00321420685075766,0.00798939016581044,0,0,0.00215819338900785,0,0.00534118315957237,0,0
"merge_spot4098",0.00975497816012313,0.00251033371672393,0.00390498654794118,0.00482756768700055,0,0.0132106168255901,0.00636269105245717,0,0,0,0.0096329139331178,0.00912462813408509,0,0.0337372757026574,0.0368386806597922,0,0,0,0.41798518292016,0.274438474467359,0.147405714036692,0,0.00749506184034829,0,0.00375118884251824,0.0139718545232615,0.00387694641628086,0,0,0,0,0,0
"merge_spot4099",0.0116545465899791,0.0068030577801729,0,0,0,0.0241736741453726,0.0122599076751521,0,0,0,0,0,0,0.05401577875078,0,0,0.0193501237289646,0,0.209004945308893,0.577939483189607,0.0553046223398948,0,0.0190440925561389,0,0.00946041814290196,0,0,0,0,0,0,0,0
