"","B cell_Jchain high","Erythroid cell_Hbb-bs high","Hepatocyte_Alb high","Hepatocyte_Fabp1 high","Kupffer cell","Erythroid cell_Hbb-bt high","Endothelial cell","Granulocyte","NK cell_Gzma high","Macrophage_Chil3 high","Dendritic cell","B cell_Fcmr high","T cell_Trbc2 high","Plasmacytoid dendritic cell_Siglech high","Hepatocyte_Spp1 high","Hepatocyte_Car3 high","Hepatic stellate cell"
"26x28",0.00694886205333064,0,0.71776771167112,0.0146652514566604,0,0,0,0,0,0,0,0,0,0.00463161530456086,0.0402319483856144,0.185330135727225,0.0300893400529925
"26x30",0,0,0.715541274714618,0.0670355116014384,0,0,0.00478653862602852,0,0,0,0,0.00315488459480512,0,0,0.0179550834563505,0.157733635621202,0.0334556909707969
"26x32",0,0,0.725363401414874,0.00579520476973632,0,0,0,0,0,0,0,0,0,0,0.0351663857474527,0.195043528688192,0.0382215607227204
"26x34",0,0,0.728183954864532,0,0,0,0.0209215378235075,0,0,0,0,0,0,0,0.040306580057527,0.187175676336864,0.0229319283135437
"26x36",0,0,0.748494867281787,0.0431046451023671,0.0205407627239887,0,0,0.00360516804618853,0,0,0,0,0,0,0.0152056566951949,0.144698545819035,0.0240029004582562
"26x38",0,0,0.417492250780106,0,0,0.0990371783016424,0,0,0,0,0.0258774390380364,0,0,0,0.00836177281090948,0.402915100708268,0.0460252161085264
"26x40",0,0,0.62416491055158,0.0227378463444951,0,0,0,0,0,0.021342462979676,0,0,0,0,0.0395821367287873,0.236871449341668,0.0549358641420377
"26x42",0.00765325768764775,0,0.645116648400134,0,0,0.00112714039802754,0,0,0,0.003318033087587,0,0,0.0331772747162845,0,0.00736304195599414,0.256821582367228,0.045016291027549
"26x44",0,0,0.651054284439246,0,0,0.0148354033862169,0,0,0,0.0250768454006586,0,0,0,0.0107962901663496,0,0.22178758642385,0.0759427618321545
"26x46",0.0145109810651414,0,0.759141911441849,0.00605148753569444,0,0,0,0,0,0,0,0.029757946016686,0,0.00522801119588156,0.0150826345712503,0.128878641648417,0.0411318236409453
"26x48",0,0,0.701659789092177,0,0,0,0.0280962578781546,0,0,0,0,0,0,0,0.0294190777585798,0.210561104042419,0.0299555074936104
"26x50",0,0,0.738694961499044,0,0,0.00396563227685014,0,0,0.0317964581613979,0,0,0,0,0,0.0163182550814554,0.172666577489348,0.0361370004472671
"27x17",0,0,0.648752067389793,0.0429057395444991,0,0,0.0198219633699858,0,0,0,0,0,0,0,0.016511280362217,0.247036067138731,0.0247116576454716
"27x19",0.00569711874963984,0,0.722174357019117,0.0406878251130637,0,0.0198650567719243,0,0,0,0,0,0,0,0,0.0295532006985321,0.164091219804804,0.0175953471461288
"27x21",0,0,0.687161269806055,0,0,0.00351139231364778,0,0.0010379131523265,0,0,0,0,0,0,0.0571516868634053,0.234311357991642,0.0163250582576852
"27x23",0.0303119706381796,0,0.619341816030018,0.00777517969626924,0,0.0124234647334372,0.011815357665814,0,0,0,0,0,0,0,0.0136841247735083,0.248665432338169,0.0556746129288919
"27x25",0.00362442607595002,0,0.605962303323576,0,0,0,0,0,0.0121388497034241,0,0,0,0,0,0.0110632504502281,0.318043080697304,0.0487868248669048
"27x27",0,0,0.625280317614077,0.00143271213713499,0.00122444202321691,0,0,0,0.00516255563916717,0,0.0374976170705408,0.0383188198274633,0,0.00472200883860627,0.0466516002636807,0.213859289218763,0.0255576163835556
"27x29",0,0,0.683837330803638,0.0227912063042888,0,0,0,0,0,0.0221668782608402,0,0,0,0,0.0353587761560745,0.202722786615333,0.0327473260971641
"27x31",0.00339442862080485,0,0.705465729797573,0,0,0,0,0,0.00429839457412633,0,0,0.00523421836228779,0,0,0.0411644930570778,0.204476415477256,0.0354648194923151
"27x33",0,0,0.654950842582483,0.058778955924335,0,0,0.0106858286051776,0,0,0,0,0,0.0463586929616344,0.0130333575136225,0.024336170745559,0.168306863065285,0.0233405504068056
"27x35",0,0,0.690854464726917,0.0589107506799735,0,0.0131132982097425,0,0,0,0,0,0,0,0,0.0159396725184674,0.194638018995201,0.025842103552483
"27x37",0,0,0.623905472666626,0.0325187909569734,0,0.0466710371738709,0,0,0.00190685956164989,0,0.0378108196387597,0,0,0.0253220174244173,0.0155543303590229,0.14961295893076,0.0663963041599209
"27x39",0,0,0.56085483929303,0.0150760952492829,0,0.0707719890118011,0,0,0,0,0,0,0,0,0.00378167795097334,0.29978120619127,0.0494855490737039
"27x41",0,0,0.521414287944565,0,0,0.0142524907626387,0,0,0,0,0.0219417724535895,0,0,0,0.0240395706998624,0.375209261894676,0.0427301777518335
"27x43",0,0,0.603890197406712,0,0,0,0.0274494317536003,0,0,0.0168535699628314,0.0481471622268147,0,0,0,0,0.20617394744902,0.0970971570030833
